000,042,062,112,157,222,312,434,521,666,702,734,750,765,007
000,042,062,112,157,222,312,434,521,666,702,734,750,042,700
000,042,062,112,157,222,312,434,521,666,702,734,750,061,740
000,042,062,112,157,222,312,434,521,666,702,734,750,112,770
000,042,062,112,157,222,312,434,521,666,702,734,750,167,070
000,042,062,112,157,222,312,434,521,666,702,734,750,222,077
000,042,062,112,157,222,312,434,521,666,702,734,750,312,047
000,042,062,112,157,222,312,434,521,666,702,734,750,434,007
000,042,062,112,157,222,312,434,521,666,702,734,750,521,707
000,042,062,112,157,222,312,434,521,666,702,734,750,555,700
000,042,062,112,157,222,312,434,521,666,702,734,750,000,740
000,042,062,112,157,222,312,434,521,666,702,734,750,734,770
000,042,062,112,157,222,312,434,521,666,702,734,750,750,070
000,042,062,112,157,222,312,434,521,666,702,734,750,761,077
000,042,062,112,157,222,312,434,521,666,702,734,750,765,047
000,042,062,112,157,222,312,434,521,666,702,734,750,702,007
